"y1999";"y2009";"y2018";"Freq";"area_km2";"Type";"from_1999";"from_2009";"to_2018"
"2";"4";"5";2237;18,1197;"Dynamic";"Native";"Shrub";"Crop"
"6";"5";"3";2213;17,9253;"Dynamic";"Grass";"Crop";"Plant"
"1";"5";"1";2175;17,6175;"Dynamic";"Water_Bare";"Crop";"Water_Bare"
"4";"1";"4";2160;17,496;"Dynamic";"Shrub";"Water_Bare";"Shrub"
"5";"6";"4";2155;17,4555;"Dynamic";"Crop";"Grass";"Shrub"
"5";"3";"2";2148;17,3988;"Dynamic";"Crop";"Plant";"Native"
"6";"4";"3";2067;16,7427;"Dynamic";"Grass";"Shrub";"Plant"
"6";"2";"6";2041;16,5321;"Dynamic";"Grass";"Native";"Grass"
"6";"5";"2";2036;16,4916;"Dynamic";"Grass";"Crop";"Native"
"2";"5";"6";1950;15,795;"Dynamic";"Native";"Crop";"Grass"
"1";"4";"5";1929;15,6249;"Dynamic";"Water_Bare";"Shrub";"Crop"
"6";"4";"2";1901;15,3981;"Dynamic";"Grass";"Shrub";"Native"
"2";"6";"3";1823;14,7663;"Dynamic";"Native";"Grass";"Plant"
"1";"5";"4";1807;14,6367;"Dynamic";"Water_Bare";"Crop";"Shrub"
"4";"6";"5";1597;12,9357;"Dynamic";"Shrub";"Grass";"Crop"
"1";"4";"2";1587;12,8547;"Dynamic";"Water_Bare";"Shrub";"Native"
"4";"4";"8";1559;12,6279;"Dynamic";"Shrub";"Shrub";"Urban"
"4";"3";"2";1555;12,5955;"Dynamic";"Shrub";"Plant";"Native"
"1";"2";"4";1492;12,0852;"Dynamic";"Water_Bare";"Native";"Shrub"
"3";"4";"6";1489;12,0609;"Dynamic";"Plant";"Shrub";"Grass"
"3";"8";"8";1482;12,0042;"Dynamic";"Plant";"Urban";"Urban"
"4";"6";"2";1427;11,5587;"Dynamic";"Shrub";"Grass";"Native"
"4";"5";"2";1366;11,0646;"Dynamic";"Shrub";"Crop";"Native"
"1";"8";"8";1315;10,6515;"Dynamic";"Water_Bare";"Urban";"Urban"
"3";"2";"5";1270;10,287;"Dynamic";"Plant";"Native";"Crop"
"6";"3";"6";1268;10,2708;"Dynamic";"Grass";"Plant";"Grass"
"2";"1";"2";1252;10,1412;"Dynamic";"Native";"Water_Bare";"Native"
"4";"8";"8";1226;9,9306;"Dynamic";"Shrub";"Urban";"Urban"
"1";"2";"1";1192;9,6552;"Dynamic";"Water_Bare";"Native";"Water_Bare"
"6";"2";"5";1189;9,6309;"Dynamic";"Grass";"Native";"Crop"
"3";"6";"2";1174;9,5094;"Dynamic";"Plant";"Grass";"Native"
"3";"6";"3";988;8,0028;"Dynamic";"Plant";"Grass";"Plant"
"5";"4";"8";982;7,9542;"Dynamic";"Crop";"Shrub";"Urban"
"1";"1";"3";980;7,938;"Dynamic";"Water_Bare";"Water_Bare";"Plant"
"2";"1";"4";900;7,29;"Dynamic";"Native";"Water_Bare";"Shrub"
"2";"4";"6";866;7,0146;"Dynamic";"Native";"Shrub";"Grass"
"1";"5";"2";865;7,0065;"Dynamic";"Water_Bare";"Crop";"Native"
"5";"4";"1";787;6,3747;"Dynamic";"Crop";"Shrub";"Water_Bare"
"4";"5";"6";776;6,2856;"Dynamic";"Shrub";"Crop";"Grass"
"3";"4";"8";768;6,2208;"Dynamic";"Plant";"Shrub";"Urban"
"5";"2";"6";763;6,1803;"Dynamic";"Crop";"Native";"Grass"
"5";"4";"6";760;6,156;"Dynamic";"Crop";"Shrub";"Grass"
"1";"1";"8";759;6,1479;"Dynamic";"Water_Bare";"Water_Bare";"Urban"
"1";"2";"5";742;6,0102;"Dynamic";"Water_Bare";"Native";"Crop"
"1";"4";"3";723;5,8563;"Dynamic";"Water_Bare";"Shrub";"Plant"
"5";"6";"2";714;5,7834;"Dynamic";"Crop";"Grass";"Native"
"1";"3";"4";701;5,6781;"Dynamic";"Water_Bare";"Plant";"Shrub"
